SG_UF_ESCOLA,NO_MUNICIPIO_ESCOLA,NO_ESCOLA_EDUCACENSO,TP_DEPENDENCIA_ADM_ESCOLA,TP_LOCALIZACAO_ESCOLA,NU_MATRICULAS,NU_PARTICIPANTES_NEC_ESP,NU_PARTICIPANTES,NU_TAXA_PARTICIPACAO,NU_MEDIA_CN,NU_MEDIA_CH,NU_MEDIA_LP,NU_MEDIA_MT,NU_MEDIA_RED,INSE,PC_FORMACAO_DOCENTE,NU_TAXA_PERMANENCIA,NU_TAXA_APROVACAO,NU_TAXA_REPROVACAO,NU_TAXA_ABANDONO,PORTE_ESCOLA
RO,Porto Velho,CENTRO DE ENSINO CLASSE A,4,1,137,0.0,130,94.89,652.34,591.64,604.53,627.66,732.0,Grupo 6,67.5,78.46,96.1,3.9,0.0,Maior que 90 alunos
RO,Porto Velho,CENTRO EDUCACIONAL MOJUCA,4,1,20,1.0,17,85.0,533.51,458.46,472.62,459.72,507.82,Grupo 4,58.3,70.59,94.6,5.4,0.0,De 1 a 30 alunos
RO,Porto Velho,CENTRO EDUCACIONAL OBJETIVO,4,1,39,0.0,37,94.87,583.87,529.05,547.11,507.22,652.43,Grupo 5,67.7,40.54,90.1,9.9,0.0,De 31 a 60 alunos
RO,Porto Velho,COLEGIO DOM BOSCO,4,1,55,1.0,49,89.09,586.45,508.74,531.35,529.87,591.84,Grupo 5,56.0,81.63,88.7,10.5,0.8,De 31 a 60 alunos
RO,Porto Velho,CENTRO EDUCACIONAL OBJETIVO - UNIDADE JARDIM AMERICA,4,1,26,0.0,23,88.46,591.66,523.38,563.45,528.93,583.48,Grupo 5,72.7,52.17,84.5,13.1,2.4,De 1 a 30 alunos
RO,Porto Velho,COLEGIO TIRADENTES DA POLICIA MILITAR DO ESTADO DE RONDONIA EEEFM TIRADENTES,2,1,97,0.0,96,98.97,582.16,505.77,527.39,492.85,580.83,Grupo 5,53.6,85.42,89.2,10.8,0.0,Maior que 90 alunos
RO,Porto Velho,EEEFM JOSE OTINO DE FREITAS,2,1,44,0.0,38,86.36,540.06,484.43,489.87,456.92,543.68,Grupo 4,73.9,63.16,73.9,22.2,3.9,De 31 a 60 alunos
RO,Porto Velho,COLEGIO ADVENTISTA DE PORTO VELHO,4,1,34,0.0,29,85.29,591.92,480.6,532.11,486.22,602.07,Grupo 4,46.2,58.62,88.7,9.9,1.4,De 31 a 60 alunos
RO,Porto Velho,EEEFM 4 DE JANEIRO,2,1,75,1.0,59,78.67,517.74,450.47,469.17,417.62,518.64,Grupo 3,62.9,64.41,54.9,44.8,0.3,De 61 a 90 alunos
RO,Porto Velho,EEEFM PROFESSORA ANTONIA VIEIRA FROTA,2,2,41,0.0,22,53.66,483.86,443.09,452.4,429.04,415.45,Grupo 3,34.6,72.73,75.5,6.5,18.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM BELA VISTA,2,1,24,0.0,21,87.5,544.43,468.48,458.62,411.69,530.48,Grupo 3,63.3,76.19,64.9,35.1,0.0,De 1 a 30 alunos
RO,Porto Velho,EEEFM BRASILIA,2,1,33,0.0,24,72.73,534.78,472.76,490.27,446.6,535.83,Grupo 4,48.3,79.17,81.6,11.4,7.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM CAP CLAUDIO MANOEL DA COSTA,2,1,28,0.0,19,67.86,535.76,459.87,482.23,428.72,547.37,Grupo 3,74.4,78.95,70.8,15.6,13.6,De 1 a 30 alunos
RO,Porto Velho,EEEFM PROFESSOR DANIEL NERI DA SILVA,2,1,72,0.0,57,79.17,528.72,452.59,469.43,438.82,502.46,Grupo 3,68.3,78.95,78.7,18.8,2.5,De 61 a 90 alunos
RO,Porto Velho,CENTRO EDUCACIONAL DR GILBERTO MENDES DE AZEVEDO,4,1,61,0.0,55,90.16,584.24,493.02,525.74,496.47,625.82,Grupo 4,62.7,89.09,92.0,7.7,0.3,De 61 a 90 alunos
RO,Porto Velho,EEEFM DR OSVALDO PIANA,2,1,30,0.0,18,60.0,526.51,426.87,489.06,427.48,511.11,Grupo 3,66.7,100.0,79.3,5.3,15.4,De 1 a 30 alunos
RO,Porto Velho,EEEFM ESTUDO E TRABALHO,2,1,106,0.0,57,53.77,538.48,448.51,484.67,436.36,512.28,Grupo 3,50.8,57.89,61.8,20.8,17.4,Maior que 90 alunos
RO,Porto Velho,EEEFM GOV ARAUJO LIMA,2,1,27,0.0,24,88.89,539.7,443.52,490.61,423.7,516.67,Grupo 4,61.7,58.33,73.7,22.8,3.5,De 1 a 30 alunos
RO,Porto Velho,EEEFM GOV PETRONIO BARCELOS,2,1,31,2.0,30,96.77,539.21,470.84,491.01,464.22,496.0,Grupo 4,61.5,76.67,72.3,27.7,0.0,De 31 a 60 alunos
RO,Porto Velho,EEEFM JOHN KENNEDY,2,1,28,0.0,25,89.29,547.2,478.66,503.59,455.35,552.0,Grupo 4,75.5,44.0,59.9,39.0,1.1,De 1 a 30 alunos
